frage_id,option_reihenfolge,option_wert,option_label,option_beschreibung,option_folge_logik
mieterstromFullService,1,nur_full_service,Unser Stadtwerk/Verteilnetzbetreiber bietet den Messstellenbetrieb nur in Kombination mit einem Full-Service-Angebot an - also inkl. der Stromlieferung durch das Stadtwerk.,,
mieterstromFullService,2,auch_ohne,"Unser Stadtwerk/Verteilnetzbetreiber bietet dies auch an, ohne selber Strom zu liefern.",,
mieterstromFullService,3,weiss_nicht,Das wissen wir nicht,,
mieterstromMsbCosts,1,wissen_nicht,Wissen wir nicht,,
mieterstromMsbCosts,2,nein,"Nein, unser Verteilnetzbetreiber/gMSB verlangt hier keine Zusatzkosten",,
mieterstromMsbCosts,3,ja,"Ja, unser Verteilnetzbetreiber/gMSB verlangt dafür Zusatzkosten",,
mieterstromMsbCosts,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
mieterstromModelChoice,1,virtuell,Einen 'virtuellen Summenzähler' mit Smart Metern - die Installation einer Wandlermessung am Hausanschluss ('physikalischer Summenzähler' für >5.000 EUR) bleibt uns damit erspart,,
mieterstromModelChoice,2,physikalisch,Nur das sogenannte 'physikalische Summenzählermodell' (erfordert einen 'physikalischen Summenzähler' für >5.000 EUR),,
mieterstromModelChoice,3,beide,Beide Modelle,,
mieterstromModelChoice,4,weiss_nicht,Das wissen wir nicht,,
mieterstromDataProvision,1,direkt_guenstig,"Der Verteilnetzbetreiber/gMSB stellt uns die Daten direkt zur Verfügung (Excel-Listen, Online-Portal o.ä.) – kostenlos oder für weniger (oder gleich) 3 EUR/Messstelle/Jahr",,
mieterstromDataProvision,2,direkt_teuer,"Der Verteilnetzbetreiber/gMSB stellt uns die Daten direkt zur Verfügung (Excel-Listen, Online-Portal o.ä.) - verlangt dafür mehr als 3 EUR/Messstelle/Jahr",,
mieterstromDataProvision,3,marktkommunikation,"Der Verteilnetzbetreiber/gMSB stellt die Daten lediglich über die Marktkommunikation zur Verfügung, wir brauchen einen Dienstleister für das Abrufen der Daten",,
mieterstromDataProvision,4,weiss_nicht,Das wissen wir nicht,,
mieterstromVnbRole,1,keine,"Gar keine, wir machen das mit einem wettbewerblichen Messstellenbetreiber",,
mieterstromVnbRole,2,msb_dienstleister,"Der Verteilnetzbetreiber/gMSB ist Messstellenbetreiber, ein Dienstleister stellt uns die Daten für die Abrechnung zur Verfügung",,
mieterstromVnbRole,3,msb_direkt,Der Verteilnetzbetreiber/gMSB ist Messstellenbetreiber und stellt uns die Daten für die Abrechnung direkt zur Verfügung,,
mieterstromVnbRole,4,full_service,"Das Stadtwerk (oder ein mit dem Verteilnetzbetreiber verbundenes Unternehmen) übernimmt das ganze Projekt, inkl. der gesamten Stromlieferung und Abrechnung mit den Teilnehmenden",,
mieterstromVnbRole,5,weiss_nicht,Das wissen wir nicht,,
mieterstromVnbDuration,1,unter_2_monate,Unter 2 Monaten,,
mieterstromVnbDuration,2,2_bis_12_monate,Zwischen 2 und 12 Monaten,,
