bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10012047,6391ce99,Stuttgart Netze GmbH,Stuttgart Netze GmbH,53.0,30.0,83.0,56.0,113.0,169.0,,,,14.0,14.0,28.0,30.0,180.0,210.0,,,
10012048,5853d2ee,LeineNetz GmbH,LeineNetz GmbH,7.0,10.0,17.0,43.0,29.0,72.0,,,,7.0,10.0,17.0,32.0,43.0,75.0,,,
10012071,2d79f6a9,e-netz Südhessen AG,e-netz Südhessen AG,16.0,28.0,44.0,48.0,450.0,498.0,,,,14.0,28.0,42.0,42.0,140.0,182.0,,,
10012181,4672af14,Stadtwerke Ditzingen GmbH & Co. KG,Stadtwerke Ditzingen GmbH & Co.KG,15.0,120.0,135.0,25.0,180.0,205.0,,,,10.0,10.0,20.0,,,,,,
10012184,5ae23966,Blomberg Netz GmbH & Co. KG,Blomberg Netz GmbH & Co. KG,10.0,34.0,44.0,34.0,0.0,34.0,,,,13.0,56.0,69.0,13.0,63.0,76.0,,,
10012360,1165a224,Stadtwerke Elm-Lappwald GmbH,Stadtwerke Elm-Lappwald GmbH,10.0,15.0,25.0,25.0,20.0,45.0,,,,10.0,15.0,25.0,,,,,,
10012361,5cb0f674,SWTE Netz GmbH & Co. KG,SWTE Netz GmbH & Co. KG,14.0,5.0,19.0,55.0,5.0,60.0,,,,11.0,11.0,22.0,100.0,270.0,370.0,,,
10012372,b4a0bed2,Stadtwerke Olching Stromnetz GmbH & Co.KG,Stadtwerke Olching Stromnetz GmbH & Co. KG,17.0,28.0,45.0,,,,,,,47.0,4.0,51.0,,,,,,
10012373,98aa8d03,Stromnetz Weilheim GmbH & Co.KG,Stromnetz Weilheim GmbH & Co. KG,16.0,12.0,28.0,,,,,,,10.0,4.0,14.0,,,,,,
10013435,7f747a00,Regionalwerke Wolfhager Land GmbH,Regionalwerke Wolfhager Land GmbH,20.0,90.0,110.0,30.0,180.0,210.0,,,,90.0,90.0,180.0,90.0,180.0,270.0,,,
10013580,d1cb2f0d,Netzgesellschaft Panketal GmbH,Netzgesellschaft Panketal GmbH,1.0,77.0,78.0,158.0,0.0,158.0,,,,1.0,7.0,8.0,,,,,,
10013586,5d3c73ba,Queichtal Energie Offenbach Netz GmbH,Queichtal Energie Offenbach Netz GmbH,11.0,18.0,29.0,23.0,47.0,70.0,,,,,,,,,,,,
10013601,29fc5091,GETEC Quartier GmbH,GETEC Quartier GmbH,5.0,15.0,20.0,,,,,,,5.0,15.0,20.0,5.0,15.0,20.0,,,
10013707,1781fa42,Stadtwerke Backnang GmbH,Stadtwerke Backnang GmbH,5.0,30.0,35.0,,,,,,,5.0,30.0,35.0,,,,,,
10013891,03488f57,SWL Energienetz- und Entsorgungsgesellschaft mbH,SWL Energienetz- und Entsorgungsgesellschaft mbH,10.0,23.0,33.0,,,,,,,42.0,60.0,102.0,,,,,,
10013892,c8523e7e,Stadtwerke EVB Huntetal Netz GmbH,Stadtwerke EVB Huntetal Netz GmbH,14.0,30.0,44.0,45.0,200.0,245.0,,,,14.0,14.0,28.0,45.0,100.0,145.0,,,
10013923,b24a34c2,Schleswig-Holstein Netz GmbH,Schleswig-Holstein Netz GmbH,1.0,13.0,14.0,48.0,299.0,347.0,84.0,187.0,271.0,1.0,23.0,24.0,88.0,416.0,504.0,27.0,,27.0
