bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10001330,aad6d963,Stadtwerke Bad Pyrmont GmbH,Stadtwerke Bad Pyrmont GmbH,14.0,45.0,59.0,,,,,,,12.0,70.0,82.0,45.0,90.0,135.0,,,
10001335,92240fb8,Städtische Betriebswerke Luckenwalde GmbH,Städtische Betriebswerke Luckenwalde GmbH,4.0,18.0,22.0,,,,,,,5.0,19.0,24.0,66.0,,66.0,,,
10001337,2e1e8daf,Energie- und Bäderbetrieb -Elektrizitätswerk der Gemeinde Hauenstein-,Energie- und Bäderbetrieb Hauenstein,30.0,0.0,30.0,,,,,,,,,,,,,,,
10001338,fa58951c,Stadtwerke Kempen GmbH,Stadtwerke Kempen GmbH,,,,,,,,,,,,,,,,,,
10001344,a7d65580,Stadtwerke Villingen-Schwenningen GmbH,Stadtwerke Villingen-Schwenningen GmbH,30.0,60.0,90.0,30.0,120.0,150.0,,,,15.0,15.0,30.0,30.0,240.0,270.0,,,
10001346,e43ca84b,Stadtwerke Waldshut-Tiengen GmbH,Stadtwerke Waldshut-Tiengen GmbH,10.0,30.0,40.0,30.0,90.0,120.0,,,,14.0,7.0,21.0,21.0,90.0,111.0,,,
10001350,13711914,Albstadtwerke GmbH,Albstadtwerke GmbH,10.0,14.0,24.0,30.0,360.0,390.0,,,,21.0,120.0,141.0,21.0,120.0,141.0,,,
10001355,7cf149a1,Stromversorgung Seebruck eG,Stromversorgung Seebruck eG,21.0,28.0,49.0,,,,,,,7.0,28.0,35.0,,,,,,
10001358,dd040d6e,Stadtwerke Parchim GmbH,Stadtwerke Parchim GmbH,10.0,14.0,24.0,,,,,,,20.0,30.0,50.0,30.0,90.0,120.0,,,
10001360,5de727a5,Stadtwerke Mössingen,Stadtwerke Mössingen,1.0,30.0,31.0,,,,,,,1.0,30.0,31.0,1.0,30.0,31.0,,,
10001361,67030df3,Stadtwerke Heilbad Heiligenstadt GmbH,Stadtwerke Heilbad Heiligenstadt GmbH,25.0,30.0,55.0,25.0,30.0,55.0,,,,20.0,30.0,50.0,,,,,,
10001364,34cf2116,Stadtwerke Bogen GmbH,Stadtwerke Bogen GmbH,3.0,3.0,6.0,,,,,,,3.0,3.0,6.0,,,,,,
10001365,4240213a,Stadtwerke Aalen GmbH,Stadtwerke Aalen GmbH,17.0,180.0,197.0,17.0,180.0,197.0,,,,10.0,15.0,25.0,17.0,180.0,197.0,,,
10001366,695c6086,E-Werk Meckenheim/Pfalz c/o Stadtwerke Neustadt an der Weinstraße GmbH,E-Werk Meckenheim/Pfalz,15.0,90.0,105.0,,,,,,,15.0,90.0,105.0,,,,,,
